,y_train
1093,39.6
1094,39.46
1095,39.83
1096,40.44
1097,40.74
1098,40.82
1099,42.17
1100,42.11
1101,41.38
1102,41.5
1103,40.88
1104,41.3
1105,41.16
1106,42.91
1107,42.75
1108,44.08
1109,43.97
1110,43.75
1111,43.6
1112,43.45
1113,43.45
1114,42.58
1115,42.17
1116,41.55
1117,40.95
1118,41.92
1119,42.32
1120,41.82
1121,40.81
1122,40.78
1123,41.54
1124,40.9
1125,40.86
1126,41.8
1127,41.76
1128,40.69
1129,39.63
1130,39.23
1131,40.5
1132,40.27
1133,39.81
1134,39.46
1135,39.49
1136,38.29
1137,39.03
1138,39.88
1139,39.15
1140,39.77
1141,41.02
1142,41.0
1143,41.87
1144,40.96
1145,40.77
1146,41.0
1147,41.07
1148,40.7
1149,40.24
1150,41.34
1151,40.93
1152,41.78
1153,41.42
1154,41.74
1155,43.1
1156,43.07
1157,43.4
1158,45.15
1159,45.91
1160,45.5
1161,45.48
1162,45.52
1163,44.76
1164,43.74
1165,43.92
1166,43.76
1167,44.88
1168,44.56
1169,43.55
1170,43.5
1171,44.3
1172,43.9
1173,43.91
1174,42.92
1175,43.88
1176,41.48
1177,40.92
1178,41.87
1179,41.35
1180,40.26
1181,40.9
1182,39.64
1183,38.19
1184,38.82
1185,37.81
1186,40.88
1187,40.78
1188,39.61
1189,39.06
1190,40.03
1191,39.16
1192,38.47
1193,37.0
1194,39.42
1195,37.88
1196,34.9
1197,31.72
1198,31.44
1199,28.86
1200,31.23
1201,26.29
1202,29.6
1203,31.34
1204,29.21
1205,25.82
1206,27.14
1207,27.98
1208,29.0
1209,27.15
1210,25.5
1211,23.06
1212,23.43
1213,24.23
1214,27.38
1215,27.41
1216,26.74
1217,26.79
1218,27.83
1219,28.98
1220,26.71
1221,24.92
1222,25.78
1223,24.76
1224,22.98
1225,21.68
1226,23.74
1227,21.92
1228,22.54
1229,22.54
1230,21.4
1231,21.1
1232,21.99
1233,21.96
1234,22.13
1235,23.2
1236,22.74
1237,21.47
1238,21.73
1239,20.87
1240,20.46
1241,21.85
1242,22.45
1243,23.12
1244,23.37
1245,21.54
1246,22.52
1247,21.53
1248,23.15
1249,21.68
1250,21.44
1251,21.8
1252,21.11
1253,20.95
1254,21.17
1255,21.07
1256,20.6
1257,20.99
1258,21.11
1259,22.79
1260,23.29
1261,23.54
1262,24.01
1263,24.34
1264,24.07
1265,22.92
1266,21.89
1267,21.07
1268,21.11
1269,21.0
1270,19.83
1271,19.84
1272,19.0
1273,19.95
1274,19.83
1275,20.71
1276,20.6
1277,20.23
1278,19.41
1279,19.69
1280,19.66
1281,19.6
1282,20.93
1283,21.99
1284,21.32
1285,20.43
1286,19.95
1287,20.96
1288,20.07
1289,20.33
1290,20.46
1291,18.99
1292,18.04
1293,17.28
1294,17.42
1295,17.47
1296,15.86
1297,16.5
1298,16.15
1299,16.28
1300,18.14
1301,17.16
1302,17.03
1303,17.16
1304,18.26
1305,18.72
1306,19.31
1307,18.77
1308,18.62
1309,19.46
1310,21.75
1311,21.3
1312,21.04
1313,22.34
1314,22.0
1315,22.3
1316,22.56
1317,21.33
1318,20.94
1319,21.03
1320,22.9
1321,23.34
1322,23.85
1323,23.61
1324,23.84
1325,24.36
1326,24.6
1327,24.42
1328,23.8
1329,24.2
1330,24.6
1331,24.08
1332,23.3
1333,23.56
1334,23.85
1335,24.64
1336,25.83
1337,25.81
1338,25.99
1339,27.03
1340,27.25
1341,26.53
1342,26.64
1343,26.91
1344,26.42
1345,25.97
1346,25.0
1347,26.32
1348,25.64
1349,25.2
1350,25.72
1351,26.06
1352,26.19
1353,26.6
1354,26.05
1355,26.21
1356,26.34
1357,27.67
1358,27.24
1359,27.49
1360,28.37
1361,29.17
1362,29.26
1363,29.0
1364,29.45
1365,29.78
1366,29.4
1367,29.88
1368,30.36
1369,30.34
1370,29.82
1371,29.05
1372,28.35
1373,28.95
1374,28.99
1375,28.52
1376,27.45
1377,27.84
1378,27.87
1379,28.11
1380,28.13
1381,28.76
1382,28.38
1383,28.14
1384,27.27
1385,27.02
1386,26.4
1387,26.53
1388,27.14
1389,27.56
1390,28.09
1391,29.0
1392,29.67
1393,30.92
1394,30.68
1395,31.24
1396,31.14
1397,31.21
1398,31.83
1399,32.56
1400,32.41
1401,32.18
1402,32.54
1403,32.38
1404,32.61
1405,32.6
1406,33.01
1407,32.01
1408,33.02
1409,32.8
1410,32.56
1411,31.87
1412,33.23
1413,33.21
1414,31.72
1415,31.28
1416,31.45
1417,31.83
1418,32.44
1419,32.85
1420,32.67
1421,32.52
1422,32.35
1423,32.73
1424,31.58
1425,31.27
1426,31.14
1427,31.0
1428,31.63
1429,32.5
1430,32.32
1431,32.74
1432,34.12
1433,34.35
1434,35.27
1435,33.56
1436,33.59
1437,33.05
1438,32.78
1439,33.07
1440,33.02
1441,32.7
1442,32.09
1443,32.2
1444,32.84
1445,32.76
1446,32.66
1447,31.69
1448,32.37
1449,32.82
1450,33.74
1451,33.74
1452,34.16
1453,34.67
1454,34.25
1455,34.84
1456,35.08
1457,35.48
1458,35.76
1459,35.58
1460,35.35
1461,34.54
1462,34.98
1463,34.64
1464,34.54
1465,33.66
1466,33.0
1467,33.4
1468,32.81
1469,32.72
1470,33.25
1471,34.11
1472,34.59
1473,35.88
1474,36.56
1475,35.96
1476,35.79
1477,35.69
1478,36.51
1479,36.56
1480,36.77
1481,36.25
